ID,Name,Track_ID,Direction_Of_Traffic,Remote_Door_Opening,Left_Track_ID,Right_Track_ID,Track_Container_Type,No_Evacuation_Way_Side,Secured,Kp_BeginValue,Kp_BeginCorrected_Trolley_Value
2075,TC_549_DMZ,TR_I_549_DMZ,Both,false,0,0,Open Area,None,false,0,0
2076,TC_567_GPP,TR_I_567_GPP,Both,false,0,0,Open Area,None,false,0,0
2077,TC_569_GPP,TR_I_569_GPP,Both,false,0,0,Open Area,None,false,0,0
2078,TC_573_GPP,TR_I_573_GPP,Both,false,0,0,Open Area,None,false,0,0
2079,TC_575_GPP,TR_I_575_GPP,Both,false,0,0,Open Area,None,false,0,0
2080,TC_585_EOT_GPP,TR_S_585_EOT_GPP,Both,false,0,TR_S_581_EOT_GPP,Open Area,None,false,1030680,0
2081,TC_581_EOT_GPP,TR_S_581_EOT_GPP,Both,false,TR_S_585_EOT_GPP,TR_6E_DMZ_GPP,Open Area,None,false,1029441,0
2082,TC_583_EOT_GPP,TR_S_583_EOT_GPP,Both,false,TR_6E_DMZ_GPP,TR_5E_DMZ_GPP,Open Area,None,false,1030046,0
2083,TC_579_EOT_GPP,TR_S_579_EOT_GPP,Both,false,TR_5E_DMZ_GPP,0,Open Area,None,false,1028304,0
2084,TC_7B_ZD_ZD,TR_7B_ZD_ZD,Both,false,0,TR_S_1921_ZD,Open Area,None,false,967812,0
2085,TC_11_ZD_ZD,TR_11_ZD_ZD,Both,false,0,TR_12_ZD_ZD,Open Area,None,false,930364,0
2086,TC_12_ZD_ZD,TR_12_ZD_ZD,Both,false,TR_11_ZD_ZD,0,Open Area,None,false,876604,0
2087,TC_1799_EOT_ZD,TR_S_1799_EOT_ZD,Both,false,TR_S_1915_ZD,TR_S_1921_ZD,Open Area,None,false,916216,0
2088,TC_1831A_ZD,TR_S_1831A_ZD,Both,false,TR_7A_ND_ZD,TR_3A_SLW_ZD,Open Area,None,false,854727,0
2089,TC_1901_ZD,TR_I_1901_ZD,Both,false,0,0,Open Area,None,false,0,0
2090,TC_1907_ZD,TR_I_1907_ZD,Both,false,0,0,Open Area,None,false,0,0
2091,TC_1903_ZD,TR_I_1903_ZD,Both,false,0,0,Open Area,None,false,0,0
2092,TC_1905_ZD,TR_I_1905_ZD,Both,false,0,0,Open Area,None,false,0,0
2093,TC_1913_ZD,TR_I_1913_ZD,Both,false,0,0,Open Area,None,false,0,0
2094,TC_1917_ZD,TR_I_1917_ZD,Both,false,0,0,Open Area,None,false,0,0
2095,TC_1919_ZD,TR_I_1919_ZD,Both,false,0,0,Open Area,None,false,0,0
2096,TC_1797_ZD,TR_I_1797_ZD,Both,false,0,0,Open Area,None,false,0,0
2097,TC_1803_ZD,TR_I_1803_ZD,Both,false,0,0,Open Area,None,false,0,0
2098,TC_1807_ZD,TR_I_1807_ZD,Both,false,0,0,Open Area,None,false,0,0
2099,TC_1833_ZD,TR_I_1833_ZD,Both,false,0,0,Open Area,None,false,0,0
2100,TC_1859_OAS,TR_I_1859_OAS,Both,false,0,0,Open Area,None,false,0,0
2101,TC_1857_OAS,TR_I_1857_OAS,Both,false,0,0,Open Area,None,false,0,0
2102,TC_307_SLW,TR_I_307_SLW,Both,false,0,0,Open Area,None,false,0,0
2103,TC_201_CS,TR_I_201_CS,Both,false,0,0,Dual Underground,None,false,0,0
2104,TC_203_CS,TR_I_203_CS,Both,false,0,0,Dual Underground,None,false,0,0
2105,TC_109A_DMZ,TR_S_109A_DMZ,Both,false,0,0,Open Area,None,false,272671,0
